BX = 000 Event : 1
0 0 0111001|000|0101 0x1C85
1 0 0111100|001|0001 0x1E11
1 1 0111101|100|0001 0x1EC1
2 0 1000010|101|0010 0x2152
2 1 1000101|000|0100 0x2284
3 0 0100100|001|0101 0x1215
3 1 0100101|001|0101 0x1295
3 2 1001100|100|0010 0x2642
3 3 1001101|101|0011 0x26D3
3 4 1001110|100|0011 0x2743
4 0 0000010|000|0100 0x0104
4 1 0000011|001|0100 0x0194
4 2 0000111|101|0111 0x03D7
4 3 0101110|001|0001 0x1711
5 0 0001100|100|0011 0x0643
6 0 0010110|101|0110 0x0B56
7 0 0011010|000|0111 0x0D07
7 1 0011011|000|0111 0x0D87
BX = 001 Event : 2
0 0 0011110|001|0000 0x0F10
1 0 0100000|101|0001 0x1051
1 1 0100001|101|0001 0x10D1
2 0 0101100|001|0110 0x1616
2 1 0101111|100|0111 0x17C7
3 0 0010101|101|0100 0x0AD4
3 1 0010110|010|0110 0x0B26
4 0 0000100|100|0100 0x0244
4 1 0000110|101|0101 0x0355
4 2 0011000|010|0000 0x0C20
4 3 0011001|010|0000 0x0CA0
4 4 0011101|101|0011 0x0ED3
5 0 0001001|101|0010 0x04D2
5 1 0001010|010|0010 0x0522
5 2 0001100|101|0011 0x0653
5 3 0001101|101|0011 0x06D3
7 0 0010010|100|0111 0x0947
BX = 010 Event : 3
2 0 0101010|001|0100 0x1514
2 1 0101100|001|0110 0x1616
3 0 0010110|101|0101 0x0B55
3 1 0011010|101|0111 0x0D57
4 0 0000010|100|0100 0x0144
4 1 0000011|010|0100 0x01A4
4 2 0000101|101|0101 0x02D5
4 3 0011101|100|0000 0x0EC0
4 4 0011110|100|0000 0x0F40
4 5 0100010|000|0010 0x1102
4 6 0100011|000|0100 0x1184
5 0 0000110|010|0000 0x0320
5 1 0000111|101|0000 0x03D0
5 2 0001000|101|0001 0x0451
7 0 0010010|100|0010 0x0942
7 1 0010100|001|0111 0x0A17
BX = 011 Event : 4
0 0 0100110|100|0000 0x1340
0 1 0100111|000|0101 0x1385
0 2 0101001|000|0101 0x1485
1 0 0101111|001|0001 0x1791
1 1 0110000|001|0100 0x1814
1 2 0110011|101|0111 0x19D7
1 3 0110100|000|0111 0x1A07
2 0 0110111|000|0100 0x1B84
2 1 0111011|010|0100 0x1DA4
2 2 0111101|010|0101 0x1EA5
