BX = 000 Event : 1
2 0 0000000|100|0111 0x0047
2 1 0111101|101|0100 0x1ED4
3 0 0000001|100|0010 0x00C2
3 1 0000101|000|0100 0x0284
3 2 0000110|101|0101 0x0355
4 0 0001011|110|0101 0x05E5
4 1 0001101|010|0111 0x06A7
4 2 0001110|010|0111 0x0727
5 0 0010001|111|0001 0x08F1
5 1 0010010|101|0010 0x0952
5 2 0010100|010|0011 0x0A23
5 3 0010111|011|0110 0x0BB6
5 4 0011010|111|0111 0x0D77
5 5 0011011|011|0111 0x0DB7
7 0 0100101|101|0111 0x12D7
BX = 001 Event : 2
0 0 0110000|101|0011 0x1853
1 0 0110010|010|0100 0x1924
2 0 0111000|011|0011 0x1C33
2 1 0111001|001|0100 0x1C94
3 0 0000001|011|0110 0x00B6
4 0 0001001|010|0001 0x04A1
4 1 0001100|010|0100 0x0624
6 0 0011010|010|0011 0x0D23
6 1 0011011|011|0101 0x0DB5
7 0 0100010|011|0111 0x1137
BX = 010 Event : 3
1 0 0101001|111|0110 0x14F6
2 0 0000000|001|0111 0x0017
3 0 0000001|001|0000 0x0090
3 1 0000100|110|0010 0x0262
3 2 0000111|100|0100 0x03C4
3 3 0001101|000|0110 0x0686
4 0 0010010|001|0010 0x0912
4 1 0010011|010|0011 0x09A3
4 2 0010100|111|0011 0x0A73
6 0 0011010|101|0000 0x0D50
BX = 011 Event : 4
0 0 0100001|011|0000 0x10B0
0 1 0100111|110|0011 0x13E3
0 2 0101000|010|0011 0x1423
1 0 0101101|010|0000 0x16A0
2 0 0110001|001|0001 0x1891
3 0 0000000|110|0000 0x0060
3 1 0000001|110|0010 0x00E2
4 0 0001000|101|0101 0x0455
4 1 0001001|011|0101 0x04B5
5 0 0001100|000|0010 0x0602
5 1 0010011|001|0111 0x0997
6 0 0011000|101|0101 0x0C55
BX = 100 Event : 5
1 0 0111000|110|0000 0x1C60
3 0 0000010|011|0001 0x0131
4 0 0001100|001|0000 0x0610
4 1 0001110|110|0010 0x0762
5 0 0010111|001|0100 0x0B94
5 1 0011000|010|0100 0x0C24
5 2 0011011|101|0111 0x0DD7
6 0 0100011|111|0001 0x11F1
BX = 101 Event : 6
0 0 0110110|000|0101 0x1B05
2 0 0000000|010|0111 0x0027
2 1 0000001|101|0111 0x00D7
2 2 0000010|101|0111 0x0157
2 3 0000011|111|0111 0x01F7
2 4 1000010|111|0100 0x2174
2 5 1000011|110|0100 0x21E4
3 0 0000100|101|0000 0x0250
3 1 0001000|010|0010 0x0422
3 2 0001001|100|0010 0x04C2
3 3 0001011|111|0011 0x05F3
3 4 0001100|001|0011 0x0613
3 5 0001101|001|0011 0x0693
3 6 0001110|100|0100 0x0744
3 7 0001111|000|0101 0x0785
3 8 0010010|000|0110 0x0906
3 9 0011011|111|0111 0x0DF7
BX = 110 Event : 7
3 0 0000001|001|0001 0x0091
4 0 0000110|010|0010 0x0322
4 1 0001000|010|0100 0x0424
6 0 0001100|000|0011 0x0603
BX = 111 Event : 8
1 0 0101011|000|0100 0x1584
1 1 0101101|100|0101 0x16C5
1 2 0110000|011|0110 0x1836
3 0 0000001|011|0001 0x00B1
3 1 0000100|011|0011 0x0233
4 0 0001011|100|0111 0x05C7
5 0 0001100|110|0001 0x0661
5 1 0001111|110|0010 0x07E2
6 0 0011011|101|0111 0x0DD7
7 0 0011100|100|0010 0x0E42
7 1 0011101|110|0100 0x0EE4
BX = 000 Event : 9
1 0 1000100|010|0110 0x2226
3 0 0000100|011|0111 0x0237
4 0 0001001|111|0101 0x04F5
5 0 0001110|010|0001 0x0721
5 1 0010000|011|0001 0x0831
5 2 0010001|111|0001 0x08F1
5 3 0010101|011|0100 0x0AB4
5 4 0011011|110|0110 0x0DE6
6 0 0011111|110|0010 0x0FE2
6 1 0100100|100|0011 0x1243
7 0 0101001|110|0010 0x14E2
BX = 001 Event : 10
2 0 0000001|101|0111 0x00D7
2 1 0101110|101|0100 0x1754
2 2 0110001|111|0101 0x18F5
3 0 0000010|111|0001 0x0171
3 1 0000101|100|0010 0x02C2
3 2 0000110|000|0110 0x0306
4 0 0001010|101|0110 0x0556
6 0 0010010|111|0000 0x0970
6 1 0010011|000|0001 0x0981
6 2 0010111|001|0101 0x0B95
BX = 010 Event : 11
0 0 0111101|100|0101 0x1EC5
1 0 0111111|001|0010 0x1F92
1 1 1000000|010|0100 0x2024
1 2 1000001|011|0100 0x20B4
3 0 0000101|011|0110 0x02B6
3 1 0001011|110|0111 0x05E7
4 0 0010001|011|0001 0x08B1
4 1 0010101|011|0100 0x0AB4
4 2 0010110|111|0101 0x0B75
7 0 0100001|001|0010 0x1092
7 1 0100010|001|0010 0x1112
7 2 0100101|101|0111 0x12D7
BX = 011 Event : 12
2 0 0111001|010|0000 0x1CA0
3 0 0000000|011|0000 0x0030
3 1 0000001|011|0000 0x00B0
3 2 0000101|110|0010 0x02E2
4 0 0001000|010|0101 0x0425
4 1 0001001|101|0101 0x04D5
5 0 0001010|010|0000 0x0520
6 0 0011100|100|0111 0x0E47
BX = 100 Event : 13
0 0 0111110|101|0011 0x1F53
0 1 0111111|100|0011 0x1FC3
0 2 1000001|001|0101 0x2095
2 0 1001111|101|0001 0x27D1
3 0 0001011|000|0101 0x0585
3 1 0001111|100|0110 0x07C6
4 0 0011001|110|0010 0x0CE2
5 0 0100010|001|0000 0x1110
5 1 0100111|011|0100 0x13B4
5 2 0101001|011|0110 0x14B6
6 0 0101101|110|0101 0x16E5
7 0 0101110|011|0111 0x1737
BX = 101 Event : 14
1 0 0101101|011|0110 0x16B6
3 0 0000110|110|0010 0x0362
3 1 0000111|110|0010 0x03E2
3 2 0001000|000|0011 0x0403
4 0 0001001|110|0000 0x04E0
4 1 0001101|011|0011 0x06B3
4 2 0001111|100|0101 0x07C5
4 3 0010000|101|0111 0x0857
4 4 0010001|101|0111 0x08D7
4 5 0010010|101|0111 0x0957
5 0 0011000|010|0100 0x0C24
6 0 0011110|001|0101 0x0F15
6 1 0011111|111|0111 0x0FF7
BX = 110 Event : 15
2 0 0110011|011|0101 0x19B5
3 0 0000000|011|0000 0x0030
4 0 0000100|001|0000 0x0210
5 0 0010000|011|0011 0x0833
5 1 0010001|101|0011 0x08D3
6 0 0010111|110|0011 0x0BE3
6 1 0011011|000|0101 0x0D85
BX = 111 Event : 16
0 0 1001011|110|0011 0x25E3
2 0 0000011|000|0111 0x0187
3 0 0000101|010|0001 0x02A1
3 1 0001001|000|0011 0x0483
3 2 0001010|010|0011 0x0523
3 3 0001100|000|0011 0x0603
3 4 0001101|011|0011 0x06B3
3 5 0001110|010|0011 0x0723
3 6 0001111|010|0011 0x07A3
3 7 0010000|010|0100 0x0824
4 0 0011001|011|0011 0x0CB3
5 0 0011111|101|0000 0x0FD0
5 1 0100100|111|0011 0x1273
6 0 0100111|110|0011 0x13E3
6 1 0101001|010|0011 0x14A3
BX = 000 Event : 17
0 0 0011111|100|0101 0x0FC5
2 0 0101010|010|0010 0x1522
3 0 0000001|111|0001 0x00F1
5 0 0001111|011|0011 0x07B3
5 1 0010000|000|0100 0x0804
BX = 001 Event : 18
1 0 0011101|000|0000 0x0E80
2 0 0000000|111|0111 0x0077
2 1 0100100|011|0001 0x1231
2 2 0101010|011|0101 0x1535
3 0 0000010|011|0100 0x0134
4 0 0000110|000|0001 0x0301
5 0 0001000|100|0000 0x0440
6 0 0001100|101|0001 0x0651
6 1 0001101|010|0011 0x06A3
BX = 010 Event : 19
3 0 0000001|011|0000 0x00B0
3 1 0000101|101|0100 0x02D4
4 0 0001100|111|0100 0x0674
5 0 0001110|101|0000 0x0750
5 1 0010001|111|0001 0x08F1
5 2 0010101|011|0100 0x0AB4
5 3 0010111|011|0101 0x0BB5
5 4 0011001|011|0101 0x0CB5
BX = 011 Event : 20
0 0 0101000|110|0000 0x1460
2 0 0101101|000|0101 0x1685
5 0 0001110|010|0000 0x0720
5 1 0010011|011|0110 0x09B6
6 0 0010101|110|0011 0x0AE3
BX = 100 Event : 21
2 0 0111000|011|0110 0x1C36
3 0 0000010|010|0111 0x0127
3 1 0000110|010|0111 0x0327
5 0 0010011|011|0100 0x09B4
6 0 0011010|001|0101 0x0D15
BX = 101 Event : 22
1 0 0101111|110|0010 0x17E2
1 1 0110000|101|0010 0x1852
1 2 0110001|110|0100 0x18E4
2 0 0110011|111|0000 0x19F0
3 0 0001001|011|0111 0x04B7
4 0 0001110|111|0101 0x0775
5 0 0010001|000|0100 0x0884
6 0 0010011|111|0001 0x09F1
6 1 0010100|101|0001 0x0A51
6 2 0010110|110|0101 0x0B65
6 3 0011000|000|0111 0x0C07
7 0 0011001|011|0010 0x0CB2
BX = 110 Event : 23
0 0 0111101|101|0101 0x1ED5
0 1 0111111|010|0110 0x1FA6
3 0 0001100|010|0100 0x0624
3 1 0010000|111|0110 0x0876
4 0 0010001|011|0001 0x08B1
4 1 0010110|010|0111 0x0B27
5 0 0011000|011|0001 0x0C31
5 1 0100101|111|0110 0x12F6
6 0 0101000|000|0011 0x1403
6 1 0101010|100|0111 0x1547
7 0 0110000|100|0100 0x1844
7 1 0110001|100|0100 0x18C4
BX = 111 Event : 24
2 0 0110110|110|0100 0x1B64
2 1 0111000|011|0101 0x1C35
3 0 0000100|000|0010 0x0202
3 1 0000111|001|0111 0x0397
4 0 0001010|000|0000 0x0500
4 1 0001110|011|0001 0x0731
4 2 0010000|000|0010 0x0802
4 3 0010001|011|0010 0x08B2
4 4 0010100|010|0100 0x0A24
4 5 0011001|010|0111 0x0CA7
4 6 0011010|001|0111 0x0D17
4 7 0011011|000|0111 0x0D87
6 0 0100000|110|0001 0x1061
BX = 000 Event : 25
1 0 0110010|110|0110 0x1966
2 0 0110111|010|0101 0x1BA5
3 0 0000011|001|0010 0x0192
3 1 0000100|111|0011 0x0273
3 2 0000101|010|0011 0x02A3
4 0 0010011|011|0111 0x09B7
5 0 0011001|011|0011 0x0CB3
BX = 001 Event : 26
0 0 0110010|101|0000 0x1950
1 0 0111100|111|0110 0x1E76
2 0 0000000|001|0111 0x0017
2 1 1000101|101|0001 0x22D1
2 2 1000111|110|0011 0x23E3
2 3 1001000|100|0011 0x2443
3 0 0000001|000|0000 0x0080
3 1 0000010|000|0000 0x0100
3 2 0000100|100|0001 0x0241
3 3 0000110|001|0010 0x0312
3 4 0000111|111|0010 0x03F2
3 5 0001011|110|0101 0x05E5
4 0 0001110|101|0000 0x0750
4 1 0010100|001|0110 0x0A16
4 2 0010101|100|0111 0x0AC7
4 3 0010110|100|0111 0x0B47
5 0 0010111|010|0011 0x0BA3
5 1 0011000|011|0100 0x0C34
6 0 0011110|000|0011 0x0F03
7 0 0101100|101|0111 0x1657
BX = 010 Event : 27
0 0 0111111|110|0101 0x1FE5
2 0 1001000|111|0010 0x2472
2 1 1001010|011|0100 0x2534
3 0 0001101|000|0111 0x0687
4 0 0010100|001|0010 0x0A12
6 0 0101101|101|0001 0x16D1
7 0 0110011|011|0111 0x19B7
BX = 011 Event : 28
3 0 0000000|110|0000 0x0060
3 1 0000011|010|0001 0x01A1
3 2 0000110|101|0010 0x0352
3 3 0000111|000|0010 0x0382
3 4 0001001|110|0010 0x04E2
3 5 0001011|101|0011 0x05D3
3 6 0001101|111|0011 0x06F3
3 7 0001110|010|0011 0x0723
3 8 0001111|101|0100 0x07D4
3 9 0010010|101|0101 0x0955
3 a 0010101|101|0111 0x0AD7
3 b 0010110|001|0111 0x0B17
6 0 0100000|000|0010 0x1002
BX = 100 Event : 29
0 0 0101101|110|0011 0x16E3
3 0 0000100|010|0101 0x0225
4 0 0000101|001|0000 0x0290
7 0 0011100|000|0010 0x0E02
7 1 0011101|001|0010 0x0E92
BX = 101 Event : 30
2 0 0110111|111|0001 0x1BF1
2 1 0111000|111|0001 0x1C71
2 2 0111010|110|0011 0x1D63
3 0 0000000|011|0000 0x0030
3 1 0000011|001|0000 0x0190
3 2 0000101|000|0000 0x0280
3 3 0000110|001|0000 0x0310
3 4 0001000|001|0011 0x0413
5 0 0010011|101|0110 0x09D6
5 1 0010100|010|0110 0x0A26
7 0 0100111|100|0100 0x13C4
7 1 0101000|110|0100 0x1464
BX = 110 Event : 31
0 0 0111001|001|0101 0x1C95
2 0 0000001|000|0111 0x0087
4 0 0010011|101|0000 0x09D0
4 1 0011001|110|0011 0x0CE3
4 2 0011110|000|0111 0x0F07
4 3 0011111|000|0111 0x0F87
5 0 0100100|101|0110 0x1256
BX = 111 Event : 32
0 0 1000000|101|0011 0x2053
0 1 1000001|100|0011 0x20C3
0 2 1000010|101|0011 0x2153
0 3 1000101|110|0110 0x22E6
3 0 0000011|111|0110 0x01F6
5 0 0010111|011|0011 0x0BB3
5 1 0011000|011|0011 0x0C33
6 0 0011110|110|0010 0x0F62
7 0 0101111|011|0100 0x17B4
BX = 000 Event : 33
1 0 0100111|011|0100 0x13B4
2 0 0101110|011|0001 0x1731
2 1 0101111|101|0100 0x17D4
3 0 0000011|000|0011 0x0183
4 0 0000110|001|0001 0x0311
4 1 0000111|000|0011 0x0383
5 0 0001010|000|0001 0x0501
